Município;Classes de rendimento nominal mensal domiciliar per capita;Total;Branca;Preta;Amarela;Parda;Indígena
Monte Azul Paulista (SP);Mais de 15 a 20 salários mínimos;10;5;-;-;5;-
Monte Azul Paulista (SP);Mais de 20 salários mínimos;7;7;-;-;-;-
Monte Azul Paulista (SP);Sem rendimento;237;179;-;-;57;-
Olímpia (SP);Total;54990;36068;2987;102;15834;-
Olímpia (SP);Até 1/4 de salário mínimo;1607;782;172;-;653;-
Olímpia (SP);Mais de 1/4 a 1/2 salário mínimo;6677;3571;468;10;2628;-
Olímpia (SP);Mais de 1/2 a 1 salário mínimo;16245;9833;1085;12;5315;-
Olímpia (SP);Mais de 1 a 2 salários mínimos;18929;12593;999;40;5297;-
Olímpia (SP);Mais de 2 a 3 salários mínimos;5768;4544;143;-;1080;-
Olímpia (SP);Mais de 3 a 5 salários mínimos;2759;2455;49;-;255;-
Olímpia (SP);Mais de 5 a 10 salários mínimos;949;835;-;13;101;-
Olímpia (SP);Mais de 10 a 15 salários mínimos;112;98;-;-;14;-
Olímpia (SP);Mais de 15 a 20 salários mínimos;85;75;-;-;9;-
Olímpia (SP);Mais de 20 salários mínimos;21;21;-;-;-;-
Olímpia (SP);Sem rendimento;1839;1260;70;28;482;-
Severínia (SP);Total;14519;7274;869;-;6377;-
Severínia (SP);Até 1/4 de salário mínimo;457;170;9;-;278;-
Severínia (SP);Mais de 1/4 a 1/2 salário mínimo;1893;770;122;-;1001;-
Severínia (SP);Mais de 1/2 a 1 salário mínimo;5508;2538;387;-;2582;-
Severínia (SP);Mais de 1 a 2 salários mínimos;5020;2808;266;-;1946;-
Severínia (SP);Mais de 2 a 3 salários mínimos;1003;656;31;-;315;-
Severínia (SP);Mais de 3 a 5 salários mínimos;307;160;4;-;142;-
Severínia (SP);Mais de 5 a 10 salários mínimos;32;23;5;-;4;-
Severínia (SP);Mais de 10 a 15 salários mínimos;43;31;-;-;12;-
Severínia (SP);Mais de 15 a 20 salários mínimos;16;16;-;-;-;-
Severínia (SP);Mais de 20 salários mínimos;-;-;-;-;-;-
Severínia (SP);Sem rendimento;241;102;44;-;96;-
Terra Roxa (SP);Total;7872;4685;358;66;2738;26
Terra Roxa (SP);Até 1/4 de salário mínimo;312;126;22;-;164;-
Terra Roxa (SP);Mais de 1/4 a 1/2 salário mínimo;814;392;66;-;355;-
Terra Roxa (SP);Mais de 1/2 a 1 salário mínimo;2845;1586;151;20;1063;26
Terra Roxa (SP);Mais de 1 a 2 salários mínimos;2756;1704;77;43;932;-
Terra Roxa (SP);Mais de 2 a 3 salários mínimos;700;504;30;-;166;-
Terra Roxa (SP);Mais de 3 a 5 salários mínimos;209;159;5;3;42;-
Terra Roxa (SP);Mais de 5 a 10 salários mínimos;153;153;-;-;-;-
Terra Roxa (SP);Mais de 10 a 15 salários mínimos;13;13;-;-;-;-
Terra Roxa (SP);Mais de 15 a 20 salários mínimos;-;-;-;-;-;-
Terra Roxa (SP);Mais de 20 salários mínimos;12;12;-;-;-;-
Terra Roxa (SP);Sem rendimento;58;36;6;-;16;-
