ano,municipio,uf,pop_urbana,pop_agua,pop_esgoto,indice_agua,indice_coleta_esgoto,indice_tratamento_esgoto,indice_perda_agua,investimento
2016,Monte Azul Paulista,SP,18028.0,18844.0,18557.0,97.4,85.0,35.0,0.0,0.0
2015,Monte Azul Paulista,SP,18062.0,19304.0,19304.0,96.0,85.0,35.0,0.0,
2017,Monte Azul Paulista,SP,17997.0,18222.0,18054.0,97.1,85.0,35.0,48.32,0.0
2013,Monte Azul Paulista,SP,18129.0,19376.0,19376.0,100.0,30.0,100.0,0.0,
2019,Olímpia,SP,51728.0,51728.0,51728.0,100.0,73.51,30.0,19.42,1871348.6
2021,Olímpia,SP,52394.0,52394.0,52394.0,100.0,86.5,100.0,17.83,64778.0
2013,Olímpia,SP,49724.0,49724.0,49724.0,100.0,80.0,30.0,28.78,1617672.08
2020,Olímpia,SP,52066.0,52066.0,52066.0,100.0,96.2,100.0,21.0,2519595.0
2016,Olímpia,SP,50718.0,50718.0,50718.0,100.0,80.0,30.0,27.34,2775207.46
2022,Olímpia,SP,,52923.0,52923.0,,93.08,100.0,25.86,5395050.15
2018,Olímpia,SP,51382.0,51382.0,51382.0,100.0,80.0,29.97,28.69,6709123.1
2015,Olímpia,SP,50395.0,50395.0,50395.0,100.0,80.0,30.0,27.1,2030400.95
2017,Olímpia,SP,51034.0,51034.0,51034.0,100.0,79.99,30.0,25.18,405801.68
2014,Olímpia,SP,50064.0,50064.0,50064.0,100.0,80.0,30.0,25.19,936948.6
2022,Severínia,SP,,14576.0,14468.0,,99.89,60.0,0.02,0.0
2019,Severínia,SP,16675.0,17496.0,17496.0,100.0,95.6,97.73,0.0,0.0
2015,Severínia,SP,16018.0,16200.0,16200.0,96.8,69.51,100.0,0.0,
2016,Severínia,SP,16166.0,15501.0,16200.0,95.9,67.27,100.0,0.0,
2014,Severínia,SP,15865.0,16200.0,16200.0,97.7,69.99,100.0,1.57,
2021,Severínia,SP,16984.0,17820.0,17680.0,100.0,95.61,95.0,0.0,0.0
2018,Severínia,SP,16515.0,17328.0,17328.0,100.0,95.33,99.0,0.0,112500.0
2017,Severínia,SP,16312.0,17115.0,17115.0,100.0,100.0,99.33,0.0,5000.0
2020,Severínia,SP,16833.0,17661.0,17601.0,100.0,95.6,95.04,0.0,0.0
2013,Severínia,SP,15709.0,16482.0,16482.0,100.0,70.56,100.0,0.79,
2013,Terra Roxa,SP,8549.0,7985.0,8549.0,93.4,83.42,100.0,30.05,227065.82
2016,Terra Roxa,SP,8735.0,7433.0,7898.0,85.1,100.0,100.0,38.35,101299.17
2014,Terra Roxa,SP,8613.0,8045.0,7935.0,93.4,86.84,100.0,35.32,149566.86
2020,Terra Roxa,SP,8995.0,7931.0,8333.0,88.2,99.39,100.0,20.46,359087.51
2019,Terra Roxa,SP,8932.0,7817.0,8244.0,87.5,100.0,100.0,23.84,148263.95
2022,Terra Roxa,SP,,7661.0,7699.0,,100.0,100.0,17.3,121599.28
2018,Terra Roxa,SP,8867.0,7700.0,8129.0,86.8,100.0,100.0,26.3,224851.39
2021,Terra Roxa,SP,9057.0,8127.0,8514.0,89.7,100.0,100.0,17.95,235575.86
2015,Terra Roxa,SP,8675.0,7342.0,7839.0,84.6,87.21,100.0,43.65,45547.28
2017,Terra Roxa,SP,8795.0,7550.0,7984.0,85.8,100.0,100.0,26.34,35523.55
