ano,municipio,uf,pop_urbana,pop_agua,pop_esgoto,indice_agua,indice_coleta_esgoto,indice_tratamento_esgoto,indice_perda_agua,investimento,Total,Branca,Preta,Parda,Indígena,perc_branca,perc_preta,perc_parda,perc_indigena,perc_negra,renda_media_estimada
2019,COLINA,SP,17248.0,16223.0,16223.0,94.1,100.0,100.0,44.59,0.0,18433.0,10843.0,1027.0,6479.0,23.0,0.5882384853252319,0.0557152932241089,0.3514891770194759,0.0012477621656811,0.4072044702435848,1646.2649324580914
2020,COLINA,SP,17310.0,16699.0,16699.0,96.5,100.0,100.0,47.95,0.0,18433.0,10843.0,1027.0,6479.0,23.0,0.5882384853252319,0.0557152932241089,0.3514891770194759,0.0012477621656811,0.4072044702435848,1646.2649324580914
2013,COLINA,SP,16910.0,18107.0,18107.0,100.0,80.0,100.0,8.92,,18433.0,10843.0,1027.0,6479.0,23.0,0.5882384853252319,0.0557152932241089,0.3514891770194759,0.0012477621656811,0.4072044702435848,1646.2649324580914
2021,COLINA,SP,17372.0,16699.0,16699.0,96.1,100.0,100.0,45.33,0.0,18433.0,10843.0,1027.0,6479.0,23.0,0.5882384853252319,0.0557152932241089,0.3514891770194759,0.0012477621656811,0.4072044702435848,1646.2649324580914
2016,COLINA,SP,17101.0,18311.0,18311.0,100.0,100.0,100.0,30.91,,18433.0,10843.0,1027.0,6479.0,23.0,0.5882384853252319,0.0557152932241089,0.3514891770194759,0.0012477621656811,0.4072044702435848,1646.2649324580914
2017,COLINA,SP,17162.0,18311.0,18311.0,99.6,100.0,100.0,30.14,,18433.0,10843.0,1027.0,6479.0,23.0,0.5882384853252319,0.0557152932241089,0.3514891770194759,0.0012477621656811,0.4072044702435848,1646.2649324580914
2015,COLINA,SP,17039.0,18245.0,18245.0,100.0,82.34,100.0,11.54,,18433.0,10843.0,1027.0,6479.0,23.0,0.5882384853252319,0.0557152932241089,0.3514891770194759,0.0012477621656811,0.4072044702435848,1646.2649324580914
2022,COLINA,SP,,16699.0,16699.0,,92.27,100.0,33.67,0.0,18433.0,10843.0,1027.0,6479.0,23.0,0.5882384853252319,0.0557152932241089,0.3514891770194759,0.0012477621656811,0.4072044702435848,1646.2649324580914
2018,COLINA,SP,17182.0,16223.0,16223.0,94.4,100.0,100.0,33.89,0.0,18433.0,10843.0,1027.0,6479.0,23.0,0.5882384853252319,0.0557152932241089,0.3514891770194759,0.0012477621656811,0.4072044702435848,1646.2649324580914
2014,COLINA,SP,16976.0,18177.0,18177.0,100.0,80.0,100.0,8.95,,18433.0,10843.0,1027.0,6479.0,23.0,0.5882384853252319,0.0557152932241089,0.3514891770194759,0.0012477621656811,0.4072044702435848,1646.2649324580914
2015,COLÔMBIA,SP,4489.0,5542.0,5301.0,100.0,78.22,100.0,28.36,523484.99,6378.0,2718.0,684.0,2875.0,0.0,0.4261523988711195,0.1072436500470366,0.4507682659140796,0.0,0.5580119159611163,1345.5213983382976
2018,COLÔMBIA,SP,4483.0,5922.0,5763.0,100.0,98.99,100.0,22.0,187428.07,6378.0,2718.0,684.0,2875.0,0.0,0.4261523988711195,0.1072436500470366,0.4507682659140796,0.0,0.5580119159611163,1345.5213983382976
2017,COLÔMBIA,SP,4499.0,5908.0,5752.0,100.0,96.61,100.0,24.98,109952.93,6378.0,2718.0,684.0,2875.0,0.0,0.4261523988711195,0.1072436500470366,0.4507682659140796,0.0,0.5580119159611163,1345.5213983382976
2021,COLÔMBIA,SP,4498.0,6223.0,6051.0,100.0,98.22,100.0,18.51,342770.49,6378.0,2718.0,684.0,2875.0,0.0,0.4261523988711195,0.1072436500470366,0.4507682659140796,0.0,0.5580119159611163,1345.5213983382976
2020,COLÔMBIA,SP,4492.0,6110.0,5950.0,100.0,97.49,100.0,26.99,438343.69,6378.0,2718.0,684.0,2875.0,0.0,0.4261523988711195,0.1072436500470366,0.4507682659140796,0.0,0.5580119159611163,1345.5213983382976
2019,COLÔMBIA,SP,4488.0,5959.0,5799.0,100.0,96.8,100.0,36.07,66999.82,6378.0,2718.0,684.0,2875.0,0.0,0.4261523988711195,0.1072436500470366,0.4507682659140796,0.0,0.5580119159611163,1345.5213983382976
2013,COLÔMBIA,SP,4478.0,4865.0,4546.0,100.0,74.36,100.0,31.83,1649401.05,6378.0,2718.0,684.0,2875.0,0.0,0.4261523988711195,0.1072436500470366,0.4507682659140796,0.0,0.5580119159611163,1345.5213983382976
2022,COLÔMBIA,SP,,5515.0,5373.0,,97.25,100.0,22.06,704823.05,6378.0,2718.0,684.0,2875.0,0.0,0.4261523988711195,0.1072436500470366,0.4507682659140796,0.0,0.5580119159611163,1345.5213983382976
2016,COLÔMBIA,SP,4494.0,5590.0,5391.0,100.0,94.55,100.0,29.7,391768.0,6378.0,2718.0,684.0,2875.0,0.0,0.4261523988711195,0.1072436500470366,0.4507682659140796,0.0,0.5580119159611163,1345.5213983382976
2014,COLÔMBIA,SP,4483.0,4792.0,4787.0,100.0,76.41,100.0,37.61,278187.17,6378.0,2718.0,684.0,2875.0,0.0,0.4261523988711195,0.1072436500470366,0.4507682659140796,0.0,0.5580119159611163,1345.5213983382976
2022,GUARACI,SP,,10347.0,10347.0,,77.99,100.0,41.01,,10313.0,5617.0,724.0,3943.0,20.0,0.5446523804906429,0.0702026568408804,0.382332977795016,0.0019392999127315,0.4525356346358964,1515.1616078355314
2015,GUARACI,SP,9645.0,9976.0,9976.0,94.9,90.67,100.0,18.81,,10313.0,5617.0,724.0,3943.0,20.0,0.5446523804906429,0.0702026568408804,0.382332977795016,0.0019392999127315,0.4525356346358964,1515.1616078355314
2019,GUARACI,SP,10012.0,9976.0,9976.0,91.4,83.82,100.0,14.14,,10313.0,5617.0,724.0,3943.0,20.0,0.5446523804906429,0.0702026568408804,0.382332977795016,0.0019392999127315,0.4525356346358964,1515.1616078355314
2014,GUARACI,SP,9560.0,9976.0,9976.0,95.7,80.25,100.0,8.73,,10313.0,5617.0,724.0,3943.0,20.0,0.5446523804906429,0.0702026568408804,0.382332977795016,0.0019392999127315,0.4525356346358964,1515.1616078355314
2017,GUARACI,SP,9811.0,9976.0,9976.0,93.3,88.77,100.0,17.97,,10313.0,5617.0,724.0,3943.0,20.0,0.5446523804906429,0.0702026568408804,0.382332977795016,0.0019392999127315,0.4525356346358964,1515.1616078355314
2016,GUARACI,SP,9729.0,9976.0,9976.0,94.1,90.53,100.0,17.97,,10313.0,5617.0,724.0,3943.0,20.0,0.5446523804906429,0.0702026568408804,0.382332977795016,0.0019392999127315,0.4525356346358964,1515.1616078355314
2021,GUARACI,SP,10185.0,10382.0,10100.0,100.0,75.62,100.0,0.74,,10313.0,5617.0,724.0,3943.0,20.0,0.5446523804906429,0.0702026568408804,0.382332977795016,0.0019392999127315,0.4525356346358964,1515.1616078355314
2013,GUARACI,SP,9471.0,9976.0,9976.0,96.6,81.0,100.0,9.71,,10313.0,5617.0,724.0,3943.0,20.0,0.5446523804906429,0.0702026568408804,0.382332977795016,0.0019392999127315,0.4525356346358964,1515.1616078355314
2018,GUARACI,SP,9922.0,9976.0,9976.0,92.2,85.22,100.0,13.42,,10313.0,5617.0,724.0,3943.0,20.0,0.5446523804906429,0.0702026568408804,0.382332977795016,0.0019392999127315,0.4525356346358964,1515.1616078355314
2020,GUARACI,SP,10100.0,10100.0,10100.0,100.0,75.82,100.0,1.49,,10313.0,5617.0,724.0,3943.0,20.0,0.5446523804906429,0.0702026568408804,0.382332977795016,0.0019392999127315,0.4525356346358964,1515.1616078355314
2014,JABORANDI,SP,6420.0,5983.0,6292.0,93.2,86.63,100.0,14.96,299097.78,6197.0,3256.0,550.0,2330.0,34.0,0.5254155236404712,0.088752622236566,0.3759883814749072,0.0054865257382604,0.4647410037114733,1680.1149564375603
2015,JABORANDI,SP,6437.0,5525.0,5863.0,85.8,86.35,100.0,16.11,89439.24,6197.0,3256.0,550.0,2330.0,34.0,0.5254155236404712,0.088752622236566,0.3759883814749072,0.0054865257382604,0.4647410037114733,1680.1149564375603
2013,JABORANDI,SP,6404.0,5971.0,6580.0,93.2,84.63,100.0,16.01,279345.03,6197.0,3256.0,550.0,2330.0,34.0,0.5254155236404712,0.088752622236566,0.3759883814749072,0.0054865257382604,0.4647410037114733,1680.1149564375603
2016,JABORANDI,SP,6454.0,5540.0,5864.0,85.8,100.0,100.0,22.6,118307.87,6197.0,3256.0,550.0,2330.0,34.0,0.5254155236404712,0.088752622236566,0.3759883814749072,0.0054865257382604,0.4647410037114733,1680.1149564375603
2021,JABORANDI,SP,6513.0,5924.0,6243.0,91.0,100.0,100.0,18.28,296783.0,6197.0,3256.0,550.0,2330.0,34.0,0.5254155236404712,0.088752622236566,0.3759883814749072,0.0054865257382604,0.4647410037114733,1680.1149564375603
2018,JABORANDI,SP,6464.0,5641.0,5974.0,87.3,100.0,100.0,24.33,154419.34,6197.0,3256.0,550.0,2330.0,34.0,0.5254155236404712,0.088752622236566,0.3759883814749072,0.0054865257382604,0.4647410037114733,1680.1149564375603
2022,JABORANDI,SP,,5618.0,5654.0,,99.99,100.0,11.44,483669.97,6197.0,3256.0,550.0,2330.0,34.0,0.5254155236404712,0.088752622236566,0.3759883814749072,0.0054865257382604,0.4647410037114733,1680.1149564375603
2017,JABORANDI,SP,6470.0,5584.0,5916.0,86.3,100.0,100.0,21.06,90320.76,6197.0,3256.0,550.0,2330.0,34.0,0.5254155236404712,0.088752622236566,0.3759883814749072,0.0054865257382604,0.4647410037114733,1680.1149564375603
2019,JABORANDI,SP,6481.0,5699.0,6045.0,87.9,100.0,100.0,21.45,396023.21,6197.0,3256.0,550.0,2330.0,34.0,0.5254155236404712,0.088752622236566,0.3759883814749072,0.0054865257382604,0.4647410037114733,1680.1149564375603
